,Place Name,ID_Field,Latitude,Longitude,Rating,Tags,Business,Phone,Address,price_level,rating,Website
42,Casa de Carnes Integrado,ChIJjVO5rCe_uZQRfvcRUdCTstU,-21.194922,-47.8009348,4.9,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
43,Vj Açougue,ChIJ8RkFw2i_uZQR2dFqTXsrhXA,-21.1756835,-47.7752566,4.6,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
44,Casa de Carnes Montanher,ChIJQ6u0Hr2_uZQRrK44Ct6x8G0,-21.1537212,-47.7861291,4.7,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
45,Casa de carnes e Rotisserie Center Beef,ChIJQb6LqbWVuZQRbqIjZvqUUCA,-21.1145036,-47.81700180000001,5.0,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
46,Casa de Carnes Souza,ChIJgfzRxw6_uZQRwymWurel-d4,-21.1928912,-47.8325641,1.0,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
47,Casa de Carnes Tamandaré,ChIJrzziiiC_uZQRmEHXjmrdZ8k,-21.1645648,-47.7985357,4.8,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
48,Casa De Carnes Do Carlao,ChIJTxBYOxu_uZQRlOw9T__8WXY,-21.1772221,-47.7965242,0.0,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
49,Brasão central de carnes,ChIJjz-LLkq_uZQR6baHD1NG2CI,-21.1499072,-47.8151395,5.0,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
50,M.Rodrigues Carnes Nobres em Ribeirão Preto By Maurício,ChIJS7LNuyq5uZQRGhq4Uzr5qro,-21.2081217,-47.8040477,4.9,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
51,Candido's Carnes,ChIJWVIgVNm_uZQR94sHsSdVCR0,-21.1297531,-47.7888755,4.3,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
52,Boutique de Carnes Damara,ChIJtTnRlkq5uZQRRnik2cWyImU,-21.2147295,-47.8231162,4.5,"['store', 'point_of_interest', 'establishment']",,,,,,
53,Casa de Carne Tio Paulinho,ChIJJRvEdju-uZQRTUmqZ84Vcic,-21.1462559,-47.8172734,4.7,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
54,Daiane e Pescados,ChIJH-lykDu-uZQRp0Gv41eXoAQ,-21.1482875,-47.8161243,4.8,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
55,Sempreletto Central de Carnes Loja 6,ChIJ-VbQHOuVuZQRkGXgfY4ZKlY,-21.1045363,-47.8322517,3.5,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
56,Casa de Carnes Europa,ChIJg5fl4FC_uZQRxF_zYEci7Yg,-21.1895293,-47.770057,4.8,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
57,CASA DE CARNES ENTRE AMIGOS,ChIJD9QRwte_uZQRFO-iHBbtBAY,-21.1468355,-47.8097791,4.9,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
58,Casa de Carne Kathleen,ChIJueZEeoaVuZQRqK1H1eLUuYQ,-21.1281787,-47.81117099999999,2.5,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
59,Stefaneli Meat & Convenience,ChIJPcjZlmm-uZQRW4mrtUp1HDg,-21.1608092,-47.8240093,4.9,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
